CHOICE4,CHOICE4B,VEHTYPE2_TXT,FUELTYPE2_TXT,VEHAGE_C20,MODEL_YEAR,BT-FT-Year,NumMakes,NumModels,MPG,Range,charge240,co2gpm,NewPrice,DepreciatedValue,AnnMaintCost
1101,1,Car,Gas,1,2017,Car-Gas-2017,39,738,24,0,0,388.85,32927,25431,1052
1102,2,Car,Gas,2,2016,Car-Gas-2016,39,734,23.7,0,0,392.27,33384,23045,1052
1103,3,Car,Gas,3,2015,Car-Gas-2015,39,740,23.4,0,0,398.43,33369,20528,1052
1104,4,Car,Gas,4,2014,Car-Gas-2014,41,717,23.2,0,0,402.86,32571,17802,1052
1105,5,Car,Gas,5,2013,Car-Gas-2013,40,702,23.1,0,0,402.94,32977,15964,1052
1106,6,Car,Gas,6,2012,Car-Gas-2012,42,668,22.4,0,0,417.59,32960,14088,1052
1107,7,Car,Gas,7,2011,Car-Gas-2011,42,617,21.7,0,0,428.48,34410,12946,1052
1108,8,Car,Gas,8,2010,Car-Gas-2010,44,641,21.5,0,0,434.37,35280,11645,1052
1109,9,Car,Gas,9,2009,Car-Gas-2009,45,637,21,0,0,444.46,35639,10287,1052
1110,10,Car,Gas,10,2008,Car-Gas-2008,46,649,20.5,0,0,454.02,35746,8994,1052
1111,11,Car,Gas,11,2007,Car-Gas-2007,43,594,20.3,0,0,454.23,37614,8220,1052
1112,12,Car,Gas,12,2006,Car-Gas-2006,43,595,20.2,0,0,456.18,38582,7297,1052
1113,13,Car,Gas,13,2005,Car-Gas-2005,41,661,20.4,0,0,452.05,37537,6118,1052
1114,14,Car,Gas,14,2004,Car-Gas-2004,43,628,20.6,0,0,445.25,37988,5309,1052
1115,15,Car,Gas,15,2003,Car-Gas-2003,42,573,20.5,0,0,450.5,37597,4478,1052
1116,16,Car,Gas,16,2002,Car-Gas-2002,42,543,20.8,0,0,439.76,37381,3762,1052
1117,17,Car,Gas,17,2001,Car-Gas-2001,39,505,21,0,0,437.72,37361,3139,1052
1118,18,Car,Gas,18,2000,Car-Gas-2000,39,473,21,0,0,437.7,38857,2676,1052
1119,19,Car,Gas,19,1999,Car-Gas-1999,40,483,21.2,0,0,435.35,38447,2109,1052
1120,20,Car,Gas,20,1998,Car-Gas-1998,42,464,21.3,0,0,433.86,38953,1620,1052
1201,21,Car,Diesel,1,2017,Car-Diesel-2017,3,9,35.2,0,0,290,38787,29957,1315
1202,22,Car,Diesel,2,2016,Car-Diesel-2016,2,8,31.4,0,0,325.13,39326,27147,1315
1203,23,Car,Diesel,3,2015,Car-Diesel-2015,4,23,32.8,0,0,311.57,39308,24182,1315
1204,24,Car,Diesel,4,2014,Car-Diesel-2014,4,20,31.5,0,0,322.3,38369,20971,1315
1205,25,Car,Diesel,5,2013,Car-Diesel-2013,2,12,31.8,0,0,319.17,38846,18805,1315
1206,26,Car,Diesel,6,2012,Car-Diesel-2012,2,8,32.3,0,0,314.55,38826,16596,1315
1207,27,Car,Diesel,7,2011,Car-Diesel-2011,3,8,31.4,0,0,324.25,40534,15250,1315
1208,28,Car,Diesel,8,2010,Car-Diesel-2010,3,8,31.4,0,0,324.25,41559,13718,1315
1209,29,Car,Diesel,9,2009,Car-Diesel-2009,3,6,30.2,0,0,339.1,41982,12118,1315
1210,30,Car,Diesel,10,2008,Car-Diesel-2008,1,1,26,0,0,391.54,42108,10594,1315
1211,31,Car,Diesel,11,2007,Car-Diesel-2007,1,1,26,0,0,391.54,44309,9683,1315
1212,32,Car,Diesel,12,2006,Car-Diesel-2006,2,7,32.3,0,0,317.06,45449,8595,1315
1213,33,Car,Diesel,13,2005,Car-Diesel-2005,2,13,32,0,0,321.07,44219,7207,1315
1214,34,Car,Diesel,14,2004,Car-Diesel-2004,1,10,32.6,0,0,315.61,44750,6254,1315
1215,35,Car,Diesel,15,2003,Car-Diesel-2003,1,8,35.6,0,0,287.33,44289,5275,1315
1216,36,Car,Diesel,16,2002,Car-Diesel-2002,1,8,35.6,0,0,287.33,44034,4432,1315
1217,37,Car,Diesel,17,2001,Car-Diesel-2001,1,6,35.5,0,0,288.19,44011,3698,1315
1218,38,Car,Diesel,18,2000,Car-Diesel-2000,1,6,35.5,0,0,288.19,45773,3153,1315
1219,39,Car,Diesel,19,1999,Car-Diesel-1999,2,8,34.5,0,0,299.48,45290,2485,1315
1220,40,Car,Diesel,20,1998,Car-Diesel-1998,2,8,33.8,0,0,306.26,45886,1909,1315
1301,41,Car,Hybrid,1,2017,Car-Hybrid-2017,11,29,40.4,0,0,242.55,34770,26854,1052
1302,42,Car,Hybrid,2,2016,Car-Hybrid-2016,14,31,36.8,0,0,253.65,35252,24335,1052
1303,43,Car,Hybrid,3,2015,Car-Hybrid-2015,12,33,35.5,0,0,261.42,35237,21677,1052
1304,44,Car,Hybrid,4,2014,Car-Hybrid-2014,15,40,34.8,0,0,270.95,34395,18799,1052
1305,45,Car,Hybrid,5,2013,Car-Hybrid-2013,15,34,35.3,0,0,265.21,34823,16858,1052
1306,46,Car,Hybrid,6,2012,Car-Hybrid-2012,12,25,34.2,0,0,280.1,34805,14877,1052
1307,47,Car,Hybrid,7,2011,Car-Hybrid-2011,11,20,33.6,0,0,285.2,36336,13670,1052
1308,48,Car,Hybrid,8,2010,Car-Hybrid-2010,8,13,34.5,0,0,276.5,37255,12297,1052
1309,49,Car,Hybrid,9,2009,Car-Hybrid-2009,6,8,32.3,0,0,293.75,37633,10863,1052
1310,50,Car,Hybrid,10,2008,Car-Hybrid-2008,6,8,31.8,0,0,299.43,37747,9497,1052
1311,51,Car,Hybrid,11,2007,Car-Hybrid-2007,5,7,33.3,0,0,281.75,39719,8680,1052
1312,52,Car,Hybrid,12,2006,Car-Hybrid-2006,2,5,42.4,0,0,224.05,40741,7705,1052
1313,53,Car,Hybrid,13,2005,Car-Hybrid-2005,2,8,41.9,0,0,218.55,39639,6460,1052
1314,54,Car,Hybrid,14,2004,Car-Hybrid-2004,2,7,43.9,0,0,204.44,40115,5606,1052
1315,55,Car,Hybrid,15,2003,Car-Hybrid-2003,2,7,43.3,0,0,207.34,39702,4729,1052
1316,56,Car,Hybrid,16,2002,Car-Hybrid-2002,2,3,47,0,0,191.17,39473,3973,1052
1317,57,Car,Hybrid,17,2001,Car-Hybrid-2001,2,4,47,0,0,190.65,39452,3315,1052
1318,58,Car,Hybrid,18,2000,Car-Hybrid-2000,1,1,53,0,0,167.68,41032,2826,1052
1319,59,Car,Hybrid,19,1999,Car-Hybrid-1999,0,0,0,0,0,0,40599,2227,1052
1320,60,Car,Hybrid,20,1998,Car-Hybrid-1998,0,0,0,0,0,0,41133,1711,1052
1401,61,Car,PEV,1,2017,Car-PEV-2017,9,14,35.1,0,2.8,138.64,56883,43933,947
1402,62,Car,PEV,2,2016,Car-PEV-2016,8,14,33.8,0,3,142.21,65356,45117,947
1403,63,Car,PEV,3,2015,Car-PEV-2015,8,11,32.1,0,3,181.55,55151,33928,947
1404,64,Car,PEV,4,2014,Car-PEV-2014,8,10,35.1,0,2.8,160,44173,24143,947
1405,65,Car,PEV,5,2013,Car-PEV-2013,3,4,40.8,0,2.6,118,52371,25353,947
1406,66,Car,PEV,6,2012,Car-PEV-2012,3,3,35.7,0,3.8,129.67,47445,20280,947
