,,variable,index,Coefficient,Standard error
1,0,smsa_age,F,1.34E-02,8.81E-04
2,0,smsa_mc,F,0.101661968,3.52E-02
3,0,smsa_pu,F,0.333316172,1.56E-02
4,0,smsa_suv,F,3.34E-02,1.27E-02
5,0,smsa_van,F,0.126714615,2.39E-02
6,0,ohio_age,F,-8.15E-03,4.02E-03
7,0,ohio_mc,F,0.14522157,0.136381143
8,0,ohio_pu,F,-0.391120978,6.90E-02
9,0,ohio_suv,F,-0.135029555,5.82E-02
10,0,ohio_van,F,0.163956388,9.49E-02
11,0,oreg_age,F,5.47E-02,6.67E-03
12,0,oreg_mc,F,0.136691404,0.223692894
13,0,oreg_pu,F,0.276371511,9.76E-02
14,0,oreg_suv,F,-0.134160222,9.69E-02
15,0,oreg_van,F,7.86E-02,0.164754798
16,0,dca_age,F,-3.75E-02,5.74E-03
17,0,dca_mc,F,-1.47E-02,0.225931588
18,0,dca_pu,F,-0.455383066,0.134912227
19,0,dca_suv,F,0.284105372,7.77E-02
20,0,dca_van,F,3.94E-02,0.140274726
21,0,msp_age,F,9.53E-03,4.68E-03
22,0,msp_mc,F,3.29E-02,0.175334297
23,0,msp_pu,F,-9.53E-02,8.08E-02
24,0,msp_suv,F,-6.36E-02,6.88E-02
25,0,msp_van,F,0.290639364,0.113853791
26,0,det_age,F,-4.33E-02,8.14E-03
27,0,det_mc,F,0.370982322,0.249500604
28,0,det_pu,F,-0.236661779,0.150261332
29,0,det_suv,F,0.269201864,0.100083886
30,0,det_van,F,0.642032429,0.162047142
31,0,sea_age,F,5.65E-02,6.96E-03
32,0,sea_mc,F,-0.191899376,0.268217541
33,0,sea_pu,F,-6.50E-02,0.12846607
34,0,sea_suv,F,-0.175028228,9.92E-02
35,0,sea_van,F,0.145817021,0.178901969
36,0,atl_age,F,1.55E-02,2.49E-03
37,0,atl_mc,F,-0.21217302,0.107824776
38,0,atl_pu,F,-0.122860611,4.28E-02
39,0,atl_suv,F,-6.87E-02,3.46E-02
40,0,atl_van,F,-0.145119615,6.83E-02
41,0,san_age,F,2.64E-02,2.55E-03
42,0,san_mc,F,-0.105183709,9.75E-02
43,0,san_pu,F,-0.123962692,4.79E-02
44,0,san_suv,F,-0.153910829,3.59E-02
45,0,san_van,F,7.54E-02,6.65E-02
46,0,sfo_age,F,5.01E-02,2.97E-03
47,0,sfo_mc,F,-3.48E-02,0.115462646
48,0,sfo_pu,F,-0.42062508,6.34E-02
49,0,sfo_suv,F,-0.440018133,4.30E-02
50,0,sfo_van,F,0.104099542,7.53E-02
51,0,den8_mc,F,1.417274213,0.297807744
52,0,den8_pu,F,-2.018385475,0.319397709
